REF_AREA,COUNTERPART_AREA,weight
AGO,TUR,0.0022630935501614406
AGO,TUV,3.980517012677384e-08
AGO,TWN,0.004087944045741129
AGO,TZA,0.0003533798926116577
AGO,UGA,0.0002266398657429627
AGO,UKR,0.0010401118343004532
AGO,URY,0.0003556690550789942
AGO,USA,0.05268287394584186
AGO,UZB,0.00024126625724679338
AGO,VCT,2.0126991274789693e-05
AGO,VEN,0.001213630239769048
AGO,VNM,0.0009269873667253971
AGO,VUT,9.83443331664238e-07
AGO,W,0.5112449568024509
AGO,WSM,3.4820394234751243e-06
AGO,WXD,0.002849018533319134
AGO,YEM,2.179716508740254e-05
AGO,ZAF,0.003597087138100388
AGO,ZMB,0.00015417911834025887
AGO,ZWE,0.0001202561663585952
AIA,ABW,0.0002483785622516776
AIA,AFG,0.00011373453726028335
AIA,AGO,0.0023360995012984263
AIA,ALB,0.00013186658637789287
AIA,ANT_F,0.0007193105927593991
AIA,ARE,0.0018830379999691179
AIA,ARG,8.134238701372052e-05
AIA,ARM,8.888530007479874e-05
AIA,ATG,0.0006184728628709625
AIA,AUS,0.012153444209124032
AIA,AUT,0.00011899883677706797
AIA,AZE,0.00014977828073192036
AIA,BDI,1.8747105270904507e-05
AIA,BEL,0.012070368041772675
AIA,BEN,6.42951613475919e-05
AIA,BFA,4.070267275880056e-05
AIA,BGD,2.4367362482706285e-05
AIA,BGR,0.0021038697952921195
AIA,BHR,0.00023509431793287342
AIA,BHS,0.0008839640307735677
AIA,BIH,0.0001082353540944058
AIA,BLR,0.00021040005552617173
AIA,BLZ,0.00028851945143738985
AIA,BMU,0.0013680955537679466
AIA,BOL,0.00013210631298882282
AIA,BRA,0.010517966310856143
AIA,BRB,0.0022534277212604577
AIA,BRN,0.0001559239993030332
AIA,BTN,1.8839121545806905e-06
AIA,BWA,0.0001325881876916012
AIA,CAF,2.2517351060984375e-05
AIA,CAN,0.021937784132030697
AIA,CHE,0.010805098253727241
AIA,CHL,0.0017334292229014912
AIA,CHN,0.012846198420650415
AIA,CIV,0.00023849407714242516
AIA,CMR,0.0005054575054434688
AIA,COD,0.00014306109266404526
AIA,COG,0.0005976045403154658
AIA,COL,0.0021364871432641014
AIA,COM,1.2223635676508134e-05
AIA,CPV,3.492986224913427e-05
AIA,CRI,0.0003325613463827801
AIA,CUB,0.00012440116070620616
AIA,CYM,0.0012931725126691276
AIA,CYP,0.0012028319025623197
AIA,CZE,0.0010741229273021303
AIA,DEU,0.011537240273873687
AIA,DJI,3.1338806047022236e-05
AIA,DMA,0.00010702219215424523
AIA,DNK,0.001554995136980229
AIA,DOM,0.0002525749886834107
AIA,DZA,0.00039407180467411517
AIA,ECU,0.0005196159043738458
AIA,EGY,0.0005864318273575798
AIA,ERI,1.7010903452351354e-05
AIA,ESP,0.00795272207024156
AIA,EST,1.2669188165509221e-05
AIA,ETH,0.00014584337423938356
AIA,FIN,0.00023784754173718995
AIA,FJI,8.477604695613107e-05
AIA,FRA,0.016466208270104768
AIA,FRO,3.5389943623646265e-05
AIA,GAB,0.0002918441447384686
AIA,GBR,0.040542709729325485
AIA,GEO,7.001227779613304e-05
AIA,GHA,0.00047838292729389734
AIA,GIN,9.274271917794403e-05
AIA,GMB,2.814971567737857e-05
AIA,GNB,3.324693301078777e-06
AIA,GNQ,0.00020847013523413985
AIA,GRC,0.002002632521052133
AIA,GRD,7.154023225569656e-05
AIA,GTM,8.174193136527042e-05
AIA,GUY,0.000296212496315414
AIA,HKG,0.010915091602968467
AIA,HND,0.00011308073741229265
AIA,HRV,0.0004429009673953486
AIA,HTI,6.770944944265459e-05
AIA,HUN,9.600445397514223e-05
AIA,IDN,0.0024833376485468564
AIA,IND,0.014079199553976126
AIA,IRL,0.011655580467840928
AIA,IRN,0.00024749956467826783
AIA,IRQ,0.0003597497341355204
AIA,ISL,0.0002557931368240762
AIA,ISR,0.0027937666593346906
AIA,ITA,0.013557128267950939
AIA,JAM,0.0010635458986501913
AIA,JOR,0.00041579490999383667
AIA,JPN,0.015463054105561567
AIA,KAZ,0.0014007879676484014
AIA,KEN,0.00037060765457400346
AIA,KGZ,6.694426147241359e-05
AIA,KHM,6.841652187085196e-05
AIA,KIR,2.3778942619514628e-06
AIA,KNA,0.0006914708266395866
AIA,KOR,0.009898609607449933
AIA,KWT,9.848405043567e-05
AIA,LAO,1.5085826122156428e-06
AIA,LBN,0.0012422657193198346
AIA,LBR,0.00016666084569559204
AIA,LBY,8.696264422552229e-05
AIA,LCA,0.0001667746552987608
AIA,LKA,0.00023329757909135813
AIA,LSO,5.8674904135790116e-05
AIA,LTU,0.0003574469057820419
AIA,LUX,0.0064599299350953515
AIA,LVA,0.003330277236076801
AIA,MAC,0.0003414990324529051
AIA,MAR,0.0007523565428539527
AIA,MDA,6.192937449023286e-05
AIA,MDG,0.00015662622876939363
AIA,MDV,2.22679385263805e-05
AIA,MEX,0.009549785595218614
AIA,MKD,0.0001091530953625113
AIA,MLI,9.066266706896611e-05
AIA,MLT,0.004503659087708517
AIA,MMR,0.0001228756277275611
AIA,MNE,5.559841262885597e-05
AIA,MNG,5.3052225443069865e-05
AIA,MOZ,0.00016057082118560431
AIA,MRT,0.00015601117261609861
AIA,MSR,2.7449907691936646e-05
AIA,MUS,0.0005084819351106557
AIA,MWI,0.00016364610195207925
AIA,MYS,0.001669177648210432
AIA,NCL,8.453389886428267e-05
AIA,NER,5.500393906336811e-05
AIA,NGA,0.00265882963515216
AIA,NIC,0.0001392569461411066
AIA,NLD,0.004956352523938215
AIA,NOR,0.003595947593567374
AIA,NPL,9.233591038363869e-05
AIA,NZL,8.542742532320331e-05
AIA,OMN,0.00027898365958039915
AIA,PAK,0.0010242258914958452
AIA,PAN,0.0006518675062177776
AIA,PER,0.0009421473742829054
AIA,PHL,0.0010412634312383
AIA,PNG,0.0004191389751422634
AIA,POL,0.0013219130696906162
AIA,PRK,6.126346723764971e-06
AIA,PRT,0.00014553342468181762
